Extension,BatchKeyPath,ValueName,BatchValueName,MruPosition,AbsolutePath,OpenedOn,Details
*,CMI-CreateHive{D43B12B8-09B5-40DB-B4F6-F6DFEB78DAEC}\Software\Microsoft\Windows\CurrentVersion\Explorer\ComDlg32\OpenSavePidlMRU\*,0,0,0,W7-MRC.raw,2025-02-07 12:21:27.4952105,"Short name: W7-MRC.raw

Type: File, Value: W7-MRC.raw

Extension blocks found: 1
---------------------- Block 0 (Beef0004)----------------------
Long name: W7-MRC.raw
Created: 
Last access: 

--------------------------------------------------

"
raw,CMI-CreateHive{D43B12B8-09B5-40DB-B4F6-F6DFEB78DAEC}\Software\Microsoft\Windows\CurrentVersion\Explorer\ComDlg32\OpenSavePidlMRU\raw,0,0,0,W7-MRC.raw,2025-02-07 12:21:27.4952105,"Short name: W7-MRC.raw

Type: File, Value: W7-MRC.raw

Extension blocks found: 1
---------------------- Block 0 (Beef0004)----------------------
Long name: W7-MRC.raw
Created: 
Last access: 

--------------------------------------------------

"
